MCH.Merchant Name,FIN.Transaction Amount,FIN.Transaction Date
THE HOME DEPOT 2721,102.91,1/21/2009
NWA AIR 01221750891116,259.21,1/21/2009
MICHIGAN MUNICIPAL LEA,135,1/21/2009
LOWES #00734*,169.57,1/21/2009
LOWES #00734*,48.05,1/21/2009
ENVIRONMENTAL RESOURCE,446.16,1/20/2009
BUSCH'S #1035,15.92,1/20/2009
LOWES #00734*,157.63,1/20/2009
LOWES #00734*,83.28,1/20/2009
AFTERNOON DELIGHT,179.4,1/20/2009
ACE BARNES HARDWARE,233.08,1/20/2009
MICH REC AND PARK ASSO,1450,1/20/2009
MICH REC AND PARK ASSO,80,1/20/2009
INSTAWARES/SUITESUPPLY,2261.39,1/20/2009
CRAZY WISDOM BOOKSTORE,22.45,1/20/2009
LARRY'S MOWER SHOP INC,49.9,1/20/2009
WASHTENAW CTY RGSTR DE,13,1/20/2009
GFS MKTPLC #0116,155.45,1/19/2009
SAFETY SERVICES INC.,150.01,1/19/2009
ANN ARBOR CHAMBER,185,1/19/2009
HURON CAMERA,17.5,1/19/2009
PIRTEK METRO DETROIT,277.31,1/19/2009
CARPENTER BROS HAR,39.99,1/19/2009
WW GRAINGER 236,152.37,1/19/2009
FEDEX 864722073594,35.8,1/19/2009
GFS MKTPLC #0868,156.95,1/18/2009
JOANN ETC #2004,35.96,1/17/2009
GFS MKTPLC #0868,360.73,1/17/2009
BDCO / DMEA,25.75,1/17/2009
INTUIT *18004INTUIT,225,1/17/2009
VG KIDS,33,1/17/2009
15TH JUDICIAL DISTRICT,100,1/16/2009
APPLEBEES 583800158386,17.99,1/16/2009
JOANN ETC #2004,12.7,1/16/2009
THE HOME DEPOT 2721,59.4,1/16/2009
J E MYLES INC,370.62,1/16/2009
BUY.COM,38.24,1/16/2009
VWR INTERNATIONAL INC,619.82,1/16/2009
VWR INTERNATIONAL INC,2452.36,1/16/2009
LOWES #00734*,159.65,1/16/2009
COMMERCIAL BUILDING MA,94.69,1/16/2009
HUTZEL PLUMBING & HEAT,129.68,1/16/2009
LARRY'S MOWER SHOP INC,381.34,1/16/2009
CONOR O'NEILL'S,24.62,1/16/2009
LOWES #00734*,26.94,1/16/2009
MI NURSERY & LANDSCAPE,220,1/16/2009
NAPA AUTO PARTS,65.33,1/16/2009
DIUBLE EQUIPMENT INC,62.9,1/16/2009
DIUBLE EQUIPMENT INC,66.19,1/16/2009
CVS PHARMACY #8088 Q03,59.98,1/16/2009
EXTRACTOR CORPORATI,610,1/16/2009
STADIUM HARDWARE,153.95,1/16/2009
AUTO PARTS MACHINE SHO,492.5,1/15/2009
WELLS EQUIPMENT SALES,333.33,1/15/2009
ALRO STEEL CORPORATION,167.74,1/15/2009
SEARS ROEBUCK 1390,43.97,1/15/2009
OVERSTOCK.COM,82.93,1/15/2009
LOWES #00734*,48.36,1/15/2009
RUBBER STAMPS UNLTD,-3.01,1/15/2009
BEST BUY MHT 00004085,111.97,1/15/2009
ANNARBOR AGRI-CENTER,49.8,1/15/2009
ACE BARNES HARDWARE,109.96,1/15/2009
JACK'S HARDWARE 08,9.25,1/15/2009
TARGET 00006346,20.43,1/15/2009
LOWES #00734*,111.41,1/15/2009
AFTERNOON DELIGHT,32,1/14/2009
SYX*GLOBALINDUSTRIALEQ,431.1,1/14/2009
JIMMY JOHN'S # 16 - MO,87.57,1/14/2009
A2 SHIPPING DEPOT,42.25,1/14/2009
TRACTOR-SUPPLY-CO #053,62.96,1/14/2009
NAPA AUTO PARTS,54.79,1/14/2009
MICH REC AND PARK ASSO,640,1/14/2009
MICH REC AND PARK ASSO,329,1/14/2009
MICH REC AND PARK ASSO,329,1/14/2009
RUBBER STAMPS UNLTD,60.73,1/14/2009
TOMMARK OF ANN ARBOR,22,1/14/2009
VG KIDS,75,1/14/2009
GFS MKTPLC #0868,97.24,1/14/2009
MEIJER INC #173 Q01,21.56,1/14/2009
MEIJER INC #027 Q01,26.71,1/14/2009
LOWES #00734*,49.36,1/14/2009
BETTY MILLS,146.67,1/13/2009
WELLS EQUIPMENT SALES,306.47,1/13/2009
NAPA AUTO PARTS,58.99,1/13/2009
CORRIGAN OIL CO NO. II,353.39,1/13/2009
CORRIGAN OIL CO NO. II,422.4,1/13/2009
AFTERNOON DELIGHT,202.79,1/13/2009
TRACTOR-SUPPLY-CO #053,127.49,1/13/2009
B & H PHOTO-VIDEO.COM,99.95,1/13/2009
ENVIRONMENTAL RESOURCE,1120.51,1/13/2009
KROGER #689,30.63,1/13/2009
MCCALLY TOOL AND SUPPL,24.73,1/13/2009
THE BROKEN EGG,23.82,1/13/2009
MICH REC AND PARK ASSO,109,1/13/2009
USPS 2524950107 QQQ,13.45,1/13/2009
CARPENTER BROS HAR,19.98,1/13/2009
RUBBER STAMPS UNLTD,22.4,1/13/2009
BATTERIES PLUS #389,87.91,1/13/2009
LOWES #00734*,397.6,1/13/2009
LOWES #01750*,71.65,1/12/2009
ALL TRUCK ACCESSORIES,195,1/12/2009
ANGELO'S WHOLESALE,372.8,1/12/2009
THE LIFEGUARD STORE,64,1/12/2009
BUSCH'S #1035,19.99,1/12/2009
SCHOOL TECH INC,10.93,1/12/2009
AMERIGAS PROPANE LP,2868.96,1/12/2009
STADIUM HARDWARE,115.95,1/12/2009
RUBBER STAMPS UNLTD,24.45,1/12/2009
GROSS ELECTRIC INC,18.82,1/12/2009
LOWES #00734*,888.43,1/12/2009
BORDERS BKS&MU01003037,32.95,1/12/2009
HYATT HOTELS RESTON,46.83,1/11/2009
HYATT HOTELS RESTON,375,1/11/2009
ANGELO'S WHOLESALE,479.76,1/11/2009
MEIJER INC #027 Q01,16.94,1/11/2009
LOWES #00734*,37.86,1/10/2009
GFS MKTPLC #0868,331.34,1/10/2009
PAPA JOHNS #2975,60.99,1/10/2009
AHMO S GYROS & DELI,313.43,1/10/2009
IKEA CANTON,127.15,1/10/2009
BUY.COM,79.99,1/9/2009
THE HOME DEPOT 2721,18.97,1/9/2009
GFS MKTPLC #0868,307.63,1/9/2009
BUSCH'S #1035,50.78,1/9/2009
REAL SEAFOOD CO,98.1,1/9/2009
ACCEL MAIL EQUIPMENT,56.85,1/9/2009
MICH REC AND PARK ASSO,319,1/9/2009
LOWES #00734*,38.41,1/9/2009
MI NURSERY & LANDSCAPE,-99,1/9/2009
STADIUM HARDWARE,6.99,1/9/2009
SF STRONG INC,61.17,1/9/2009
ANDERSON PAINT COMPANY,47.18,1/9/2009
PAYPAL *SMEMSIC,230,1/9/2009
MEIJER INC #027 Q01,18.4,1/9/2009
STADIUM HARDWARE,39.18,1/8/2009
CARPENTER BROS HAR,16.18,1/8/2009
AUTOZONE #2102,8.99,1/8/2009
THE HOME DEPOT 2721,41.74,1/8/2009
MARKERTEK VIDEO SUPPLY,126.05,1/8/2009
PITTSFIELD ROBIN INC,25,1/8/2009
LOWES #00734*,964.1,1/8/2009
CABELAS.COM*105616829,75,1/8/2009
LOWES #00734*,80.67,1/8/2009
STADIUM HARDWARE,18.99,1/8/2009
MICHAELS #2108,11.96,1/8/2009
ACE BARNES HARDWARE,10.93,1/8/2009
RUBBER STAMPS UNLTD,36.05,1/8/2009
SPIRIT A L1QGRL,1238,1/8/2009
CTX AP270301SXXG9I09,13.98,1/8/2009
KOLOSSOS PRINTING INC,79.57,1/8/2009
AMAZON.COM,75.19,1/8/2009
MEIJER INC #027 Q01,17.88,1/8/2009
LOWES #00734*,25,1/8/2009
LOWES #00734*,150,1/8/2009
TARGET 00012856,275,1/8/2009
HAAS TRANSMISSION,236,1/7/2009
LOWES #01750*,-86.1,1/7/2009
LOWES #01750*,94.32,1/7/2009
LOWES #01750*,86.1,1/7/2009
LOWES #01750*,81.23,1/7/2009
MARKERTEK VIDEO SUPPLY,201.33,1/7/2009
SOUTHLAND ELECTRICAL S,171.34,1/7/2009
LAMINATOR.COM,895.81,1/7/2009
H. CAULFIELD INC,419.77,1/7/2009
GFS MKTPLC #0868,53.15,1/7/2009
SURVEYMONKEY COM,19.95,1/7/2009
WASHTENAW CTY RGSTR DE,20,1/7/2009
DAYS INN DOWNTOWN G. R,182.64,1/7/2009
DAYS INN DOWNTOWN G. R,182.64,1/7/2009
AMWAY GRAND PLAZA HOTE,629.41,1/7/2009
AMWAY GRAND PLAZA HOTE,-23.76,1/7/2009
CROP PRODUCTION SERVIC,783.83,1/7/2009
CROP PRODUCTION SERVIC,950.09,1/7/2009
THE HOME DEPOT 2721,89.13,1/7/2009
RUBBER STAMPS UNLTD,56.7,1/7/2009
USPS 2502819551 QQQ,1.34,1/6/2009
NRPA HOUSING 800-906-4,-187.28,1/6/2009
ADNIK,23.21,1/6/2009
SHURE INC,100,1/6/2009
TARGET 00006346,22.5,1/6/2009
ATSSA,70,1/6/2009
PAPA JOHNS #2975,52.67,1/6/2009
HARBOR FREIGHT TOOLS 1,169.26,1/6/2009
SHUTTERSTOCK.COM,249,1/6/2009
STADIUM HARDWARE,30.61,1/6/2009
TARGET 00006346,80.7,1/6/2009
TARGET 00012856,165.22,1/6/2009
RUBBER STAMPS UNLTD,19.5,1/6/2009
MEIJER INC #64 Q01,13.73,1/6/2009
COLE INC,80,1/6/2009
PAYPAL *SMEMSIC,50,1/6/2009
LOWES #00734*,222.99,1/5/2009
LOWES #00734*,222.99,1/5/2009
LOWES #00734*,222.99,1/5/2009
SHIMADZU SCIENTIFIC,443.08,1/5/2009
SHIMADZU SCIENTIFIC,443.08,1/5/2009
VOGEL'S LOCK & SAFE,52.05,1/5/2009
THE HOME DEPOT 2721,54.86,1/5/2009
STAPLES 00115642,64.96,1/5/2009
THE PRIVATE EYE,174.15,1/5/2009
AMZ*AMAZON PAYMENTS,42.95,1/5/2009
NAPA AUTO PARTS,93.56,1/3/2009
KROGER #689,40.17,1/2/2009
LOWES #00734*,27.95,1/2/2009
CHELSEA LUMBER CO.,73.92,1/2/2009
ELECTRIC TOOL &EQUIPME,79.95,1/2/2009
BRIDGEWATER TIRE CO. I,148,1/2/2009
WASHTENAW CTY RGSTR DE,213,1/2/2009
WASHTENAW CTY RGSTR DE,23,1/2/2009
CORRIGAN OIL CO NO. II,398.88,1/1/2009
PI *PLANTRONICS INC,93.12,1/1/2009
JONES&BARTLETT PUB LLC,104.65,12/31/2008
GFS MKTPLC #0868,42.55,12/31/2008
GFS MKTPLC #0868,37.29,12/31/2008
GFS MKTPLC #0868,52.42,12/31/2008
GFS MKTPLC #0868,26.23,12/31/2008
AT&T *0534629501001,54.21,12/31/2008
MEIJER INC #64 Q01,89.99,12/30/2008
SYX*GLOBALINDUSTRIALEQ,250.66,12/30/2008
BARON BARCLAY BRIDGE S,72.72,12/30/2008
CROP PRODUCTION SERVIC,470.62,12/30/2008
LOWES #00734*,68.45,12/30/2008
LOWES #01750*,71.76,12/30/2008
OPTAC INTERNATIONAL I,698,12/29/2008
PARCEL PLUS,24,12/29/2008
NAPA AUTO PARTS,28.97,12/29/2008
LOWES #00734*,399.73,12/29/2008
MMTA,70,12/27/2008
RUBBER STAMPS UNLTD,8.45,12/27/2008
MEIJER INC #027 Q01,26.36,12/27/2008
MEIJER INC #027 Q01,24.6,12/27/2008
LOWES #00734*,90.14,12/26/2008
LOWES #00734*,29.41,12/26/2008
MEIJER INC #027 Q01,46.01,12/26/2008
CORRIGAN OIL CO NO. II,209.85,12/25/2008
CORRIGAN OIL CO NO. II,485.17,12/25/2008
RADIOSHACK COR00163303,34.99,12/24/2008
PITNEY BOWES RENTAL,29.99,12/24/2008
MEIJER INC #027 Q01,28.12,12/24/2008
INT L ASSN OF CHIEFS O,120,12/23/2008
CLARK'S FAMILY REPAIR,1007,12/23/2008
CLARK'S FAMILY REPAIR,1006,12/23/2008
GO ELECTRONIC,220.62,12/23/2008
THE HOME DEPOT 2721,131.94,12/23/2008
DISCOUNT FILING,10.92,12/23/2008
DUNN BLUE A2 5,283.5,12/23/2008
USPS 2502819551 QQQ,10.4,12/22/2008
MILLCREEK SPORT CENTER,229.74,12/22/2008
CROP PRODUCTION SERVIC,1010.79,12/22/2008
HOME AV CABLES,111.45,12/22/2008
THE HOME DEPOT 2721,123.97,12/22/2008
ANDERSON PAINT COMPANY,41.59,12/22/2008
SEARS ROEBUCK 1390,46.63,12/22/2008
SEARS ROEBUCK 1390,41.35,12/22/2008
LOWES #00734*,448.34,12/21/2008
MEIJER INC #027 Q01,21.73,12/21/2008
TARGET 00012856,19.8,12/20/2008
JOANN ETC #2004,41.48,12/20/2008
LOWES #00734*,268.95,12/19/2008
GFS MKTPLC #0868,40.53,12/19/2008
KROGER #790,23.03,12/19/2008
HONEYBAKED HAM 0,47.8,12/19/2008
THE TRANE COMPANY,1063,12/19/2008
MURRAY'S #331900033191,11.98,12/19/2008
STADIUM HARDWARE,5,12/19/2008
THE ANDERSONS #41,11.67,12/19/2008
BUSCH'S #1035,19.99,12/18/2008
ALRO STEEL CORPORATION,18.4,12/18/2008
FASTENAL CO-RETAIL,257.83,12/18/2008
TARGET 00006346,135.03,12/18/2008
NAPA AUTO PARTS,2.86,12/18/2008
MILLCREEK SPORT CENTER,779.55,12/18/2008
PANERA BREAD #874 Q53,12.99,12/18/2008
GFS MKTPLC #0868,83,12/18/2008
GFS MKTPLC #0868,78.63,12/18/2008
GFS MKTPLC #0868,69.89,12/18/2008
GFS MKTPLC #0868,74.26,12/18/2008
GFS MKTPLC #0868,15.13,12/18/2008
TRACTOR-SUPPLY-CO #053,22.75,12/18/2008
TRACTOR-SUPPLY-CO #053,207.97,12/18/2008
STADIUM HARDWARE,15.99,12/18/2008
MI NURSERY & LANDSCAPE,99,12/18/2008
BUSCH'S #1035,11.67,12/18/2008
JIMMY JOHNS #12 QPS,176.91,12/17/2008
GFS MKTPLC #0868,152.77,12/17/2008
TARGET 00012856,2.97,12/17/2008
FRANKLINCOVEYPRODUCTS,40.17,12/17/2008
GFS MKTPLC #0868,38.24,12/17/2008
LARRY'S MOWER SHOP INC,28.7,12/17/2008
TARGET 00009225,24.45,12/17/2008
BUSCH'S #1035,13.97,12/17/2008
R L DEPPMANN COMPANY,1963.5,12/17/2008
INTUIT *18004INTUIT,225,12/17/2008
PEOPLE'S FOOD COOP,13.57,12/17/2008
ACOUSTICAL SURFACES IN,78.18,12/16/2008
PRIORITY ONE EMERGENCY,956.44,12/16/2008
PAPA JOHNS #2975.COM,52.67,12/16/2008
MICHIGAN MUNICIPAL LEA,10,12/16/2008
SF STRONG INC,519.7,12/16/2008
LOWES #01750*,5.39,12/16/2008
TARGET 00009225,142.83,12/16/2008
ANN ARBOR DOOR CLOSER,182,12/16/2008
NAPA AUTO PARTS,30.85,12/16/2008
U-HAUL STATE ST CTR,23.87,12/16/2008
U-HAUL STATE ST CTR,23.87,12/16/2008
PARCEL PLUS,88.45,12/16/2008
PUBLIC AGENCY TRAINING,250,12/15/2008
CARPENTER BROS HAR,25.78,12/15/2008
STADIUM HARDWARE,40.72,12/15/2008
VOGEL'S LOCK & SAFE,6.4,12/15/2008
OFFICE DEPOT #1091,16.94,12/15/2008
KROGER #605,12.47,12/15/2008
KROGER #605,12.47,12/15/2008
ROSETTA STONE,523.75,12/15/2008
US FIGURE SKATING ASSO,296.25,12/15/2008
URETHANE INNOVATORS,732.4,12/15/2008
KOLOSSOS PRINTING INC,13.74,12/15/2008
TARGET 00006346,72.67,12/15/2008
GFS MKTPLC #0868,48.41,12/15/2008
SFI*PHOTOSBYSHUTTERFLY,-301.26,12/15/2008
LOWES #00734*,119.8,12/15/2008
FISHER SCI CHI,85.32,12/13/2008
MULE SKINNER BOOTS AND,12,12/13/2008
RUBBER STAMPS UNLTD,35.23,12/13/2008
RUBBER STAMPS UNLTD,30.5,12/13/2008
NPC*NEW PIG CORP,672.75,12/12/2008
ANGELO'S SUPPLIES INC,136.53,12/12/2008
B & H PHOTO-VIDEO.COM,12.9,12/12/2008
CABELA'S RETAIL DUNDEE,148.99,12/12/2008
DUNHAMS SPORTS00000265,218.33,12/12/2008
REAL SEAFOOD CO,95.35,12/12/2008
SF STRONG INC,69.65,12/12/2008
FERGUSON ENT#933,203.48,12/12/2008
TRACTOR-SUPPLY-CO #053,119.83,12/12/2008
KROGER #790,21.83,12/12/2008
HOSFORD & COMPANY,40,12/12/2008
WELLS EQUIPMENT SALES,225.56,12/11/2008
MICHIGAN PUBLIC PURCHA,150,12/11/2008
BEST BUY MHT 00004085,65.98,12/11/2008
STAMPS STORE FIXTURES,200.05,12/11/2008
15TH JUDICIAL DISTRICT,138,12/11/2008
STADIUM HARDWARE,2.19,12/11/2008
MAYNARD BATTERY,59.9,12/11/2008
TOYS R US #9270,22.9,12/11/2008
MICHAELS #2108,72.45,12/11/2008
CONTRACTORS CLOTHING C,277.92,12/11/2008
COMMERCIAL BUILDING MA,316.6,12/11/2008
BRIARWOOD MALL 5240,135,12/11/2008
EVENTECTIVE INC,72,12/11/2008
ALRO STEEL CORPORATION,14.82,12/11/2008
VERILUX INC,25.9,12/10/2008
THE MICHIGAN WATER ENV,290,12/10/2008
NAPA AUTO PARTS,19.17,12/10/2008
SEARS ROEBUCK 1390,159.98,12/10/2008
MURRAY'S #331700033175,53.96,12/10/2008
DISCOUNT OFFICE ITEMS,128.22,12/10/2008
USPS 2524950107 QQQ,7.55,12/10/2008
WOLVERINE RENTAL AND,198,12/10/2008
CDW GOVERNMENT,188.73,12/10/2008
LOWES #00734*,20.91,12/10/2008
PC *RUSH.COM,334.19,12/10/2008
MEIJER INC #173 Q01,12.16,12/10/2008
SAFETY SERVICES INC.,86.18,12/9/2008
OVERSTOCK.COM,35.99,12/9/2008
SHIMADZU SCIENTIFIC,503.5,12/9/2008
WASHTENAW DAIRY,15,12/9/2008
BUSCH'S #1032,10.98,12/9/2008
NATIONWIDESAFES.COM,899,12/9/2008
LOWES #00734*,14.78,12/9/2008
THE HOME DEPOT 2721,20,12/9/2008
JACK'S HARDWARE 08,15.49,12/9/2008
MI ECONOMIC DEVELOPERS,140,12/8/2008
BUSCH'S #1035,19.99,12/8/2008
BRIDGEWATER TIRE CO. I,323,12/8/2008
WW GRAINGER 236,161.01,12/8/2008
FANTASY ATTIC COSTUME,50,12/8/2008
MY POPCORN MACHINE,95.89,12/8/2008
MEIJER INC #173 Q01,6.09,12/8/2008
MEIJER INC #173 Q01,82.29,12/8/2008
SURVEYMONKEY COM,19.95,12/7/2008
LIBERTY PLUMBING SUPPL,268.4,12/6/2008
VWR INTERNATIONAL INC,-255.82,12/6/2008
WWW . COSSIN . COM,149,12/6/2008
WWW . COSSIN . COM,149,12/6/2008
STATE DLEG COMM SERV,20,12/5/2008
MASTER TECH APPLIANCE,68,12/5/2008
RAY HAVEN EQUIPMENT CO,239,12/5/2008
THE HOME DEPOT 2721,1.8,12/5/2008
CARPENTER BROS HAR,38.47,12/5/2008
CHELSEA LUMBER CO.,114.12,12/5/2008
THE HOME DEPOT 2721,38.32,12/5/2008
RUBBER STAMPS UNLTD,40.63,12/5/2008
WW GRAINGER 236,457.68,12/5/2008
LANDSENDBUSINESS,310,12/5/2008
KROGER #472,3.37,12/5/2008
LOWES #00734*,75.04,12/5/2008
CROWNE PLAZA AIRPORT A,109.35,12/5/2008
DOUBLETREE HOTELS,3.88,12/4/2008
DOUBLETREE HOTELS,0.01,12/4/2008
JIMMY JOHNS #12 QPS,33.35,12/4/2008
KROGER #688,10.35,12/4/2008
SUNRISE SCREEN PRINTIN,48,12/4/2008
HACH COMPANY,61.33,12/4/2008
REMOTE AUTOMATION MGMN,1496.02,12/4/2008
MADISON ELEC A ARBR,25.63,12/4/2008
LOWES #00734*,102.52,12/4/2008
THE HOME DEPOT 2721,25.47,12/4/2008
PLEIGER PLASTICS C,1379,12/4/2008
RUBBER STAMPS UNLTD,9.37,12/4/2008
MICHIGAN RURAL WATER,50,12/4/2008
JOSEPH G POLLARD CO IN,723.06,12/4/2008
JOANN ETC #2003,34.37,12/4/2008
BEST BUY MHT 00004085,50.98,12/4/2008
BEST BUY MHT 00004085,-39.99,12/4/2008
FIREAWARDS.COM,162.95,12/4/2008
OFFICE MAX,138.46,12/4/2008
LOWES #00734*,78.4,12/3/2008
MYERS TIRE SUPPLY,34.66,12/3/2008
15TH JUDICIAL DISTRICT,70,12/3/2008
WM SUPERCENTER,46.41,12/3/2008
LOWES #00734*,59.25,12/3/2008
LAWSON PRODUCTS,322.26,12/3/2008
WASHTENAW CTY RGSTR DE,17,12/3/2008
USPS 2524950107 QQQ,3.12,12/3/2008
ANDERSON PAINT COMPANY,51.03,12/3/2008
CORRIGAN OIL 2,374.75,12/3/2008
CORRIGAN OIL 2,611.33,12/3/2008
FERGUSON ENT#933,237.9,12/3/2008
ANN ARBOR AREA CONVENT,450,12/3/2008
ART VAN FURNITURE,1815.25,12/3/2008
FERGUSON ENT#933,72.04,12/3/2008
JIMMY JOHNS #12 QPS,24.75,12/2/2008
FASTENAL CO-RETAIL,6.12,12/2/2008
LOWES #00734*,-79.97,12/2/2008
LOWES #00734*,56.96,12/2/2008
LOWES #00734*,198.97,12/2/2008
KROGER #689,70.27,12/2/2008
GFS MKTPLC #0868,58.93,12/2/2008
DIBELLA'S #104 Q25,148.36,12/2/2008
15TH JUDICIAL DISTRICT,20,12/2/2008
PAPA JOHNS #2975.COM,54.67,12/2/2008
STADIUM HARDWARE,8.43,12/2/2008
STADIUM HARDWARE,14.76,12/2/2008
KMART 4105,37.09,12/2/2008
STADIUM HARDWARE,65.03,12/2/2008
WASHTENAW DAIRY,25,12/2/2008
KROGER #688,16.14,12/2/2008
ACE BARNES HARDWARE,5.28,12/2/2008
US PLASTICS/USP HOME,37.26,12/2/2008
STADIUM HARDWARE,20.15,12/2/2008
THE HOME DEPOT 2721,86.42,12/2/2008
THE HOME DEPOT 2721,211.8,12/2/2008
THE HOME DEPOT 2721,-207.57,12/2/2008
LOWES #00734*,398.75,12/1/2008
NAPA AUTO PARTS,146.34,12/1/2008
APG,326,12/1/2008
KROGER #688,15,12/1/2008
LOWES #00734*,33.13,12/1/2008
WASHTENAW CTY RGSTR DE,23,12/1/2008
WASHTENAW CTY RGSTR DE,11,12/1/2008
SKILLPATH SEMINARS,199,12/1/2008
TARGET 00012856,75,11/28/2008
CHELSEA LUMBER CO.,-100.87,11/28/2008
CHELSEA LUMBER CO.,102.63,11/28/2008
PARTY AMERICA,67.95,11/28/2008
VWR INTERNATIONAL INC,160.16,11/27/2008
LOWES #00734*,11.88,11/26/2008
LARRY'S MOWER SHOP INC,69.9,11/26/2008
ANDERSON PAINT COMPANY,65.18,11/26/2008
CROP PRODUCTION SERVIC,759.05,11/26/2008
LOWES #00734*,147.46,11/26/2008
GEMPLER*1012519789,373.65,11/26/2008
CARPENTER BROS HAR,39.17,11/26/2008
CHELSEA LUMBER CO.,100.87,11/26/2008
MADISON ELEC A ARBR,129.89,11/26/2008
MADISON ELEC A ARBR,32.48,11/26/2008
NPC*NEW PIG CORP,259.87,11/26/2008
US PLASTICS/USP HOME,229.2,11/26/2008
RUBBER STAMPS UNLTD,9.37,11/26/2008
LOWES #01750*,47.96,11/26/2008
DOUBLETREE HOTELS,195,11/25/2008
DOUBLETREE HOTELS,285.74,11/25/2008
MD BAGEL FRAGEL LLC,30.85,11/25/2008
LOWES #00734*,163.25,11/25/2008
THE HOME DEPOT 2721,59.94,11/25/2008
DBI SALA,2150,11/25/2008
LOWES #00734*,113.26,11/25/2008
LOWES #00734*,11.76,11/25/2008
CARPENTER BROS HAR,28.47,11/25/2008
NTSUPPLY.COM,42.12,11/25/2008
USPS 2524950106 QQQ,13.65,11/25/2008
ACE BARNES HARDWARE,23.96,11/25/2008
STADIUM HARDWARE,39.48,11/25/2008
PC *RUSH.COM,324.45,11/25/2008
WC *JC WHITNEY CATALOG,79.99,11/25/2008
STADIUM HARDWARE,4.7,11/25/2008
MICHIGAN STATE UNIVERS,190,11/24/2008
KROGER #605,2.89,11/24/2008
DETROIT HITCH,71.25,11/24/2008
AHMOS GYROS AND DELI,94.9,11/24/2008
FEDEX KINKO'S #0465,131.68,11/24/2008
CARPENTER BROS HAR,40.5,11/24/2008
SF STRONG INC,372.75,11/24/2008
LOWES #00734*,13.75,11/24/2008
LOWES #00734*,69.97,11/24/2008
CARPENTER BROS HAR,69.25,11/24/2008
ALLIANCE FOR COMM MEDI,155,11/24/2008
TOMMARK OF ANN ARBOR,155.69,11/24/2008
3032-YPSI ALLIED BLDG,998.65,11/24/2008
PROF PUMP & IRRGTN SRV,791.57,11/24/2008
MOTIVATORS,298.5,11/24/2008
BEST BUY MHT 00004085,254.97,11/24/2008
LOWES #01750*,19.98,11/24/2008
TEA*TEACHING CO CATALO,109.95,11/23/2008
PROAUDIOVID,119,11/22/2008
CAROLINA BIOLOGICAL SU,49.51,11/22/2008
VWR INTERNATIONAL INC,572.61,11/22/2008
SAFETY KLEEN SYSTEMS I,175.25,11/22/2008
SAFETY KLEEN SYSTEMS I,135.8,11/22/2008
HP DIRECT - SMB,542.72,11/22/2008
PITNEY BOWES RENTAL,37.98,11/22/2008
FASTENAL CO-RETAIL,225.7,11/21/2008
NAPA AUTO PARTS,-160.9,11/21/2008
MARKERTEK VIDEO SUPPLY,142.63,11/21/2008
LANDSENDBUSINESS,-52.5,11/21/2008
LANDSENDBUSINESS,-50,11/21/2008
MICHIGAN TRUCKING ASSO,21.9,11/21/2008
COTTAGE INN PIZZA CONC,200.32,11/21/2008
DOWNTOWN HOME & GARDEN,69.8,11/21/2008
KOCH & WHITE HEATING &,277.2,11/21/2008
LARRY'S MOWER SHOP INC,414.7,11/21/2008
LOWES #00734*,429,11/21/2008
LOWES #00734*,146.04,11/21/2008
MICHIGAN RECYCLING COA,185,11/21/2008
GEMPLER*1012489506,101.5,11/21/2008
MULE SKINNER BOOTS AND,169.95,11/21/2008
NAPA AUTO PARTS,114.34,11/21/2008
BUSCH'S #1035,19.99,11/21/2008
DOLLAR DAYS,164.26,11/21/2008
TURNERS GREENSCAPE LTD,1911.84,11/21/2008
LOWES #00734*,735.1,11/21/2008
THE HOME DEPOT 2721,483.61,11/21/2008
VAN METER & ASSOCIATES,135,11/20/2008
FASTENAL CO-RETAIL,153.38,11/20/2008
NAPA AUTO PARTS,173.06,11/20/2008
AMER WATER WORK WEB,89.5,11/20/2008
FANTASY ATTIC COSTUME,18.6,11/20/2008
RADIOSHACK COR00163303,23.53,11/20/2008
LOWES #00734*,19.49,11/20/2008
DISPLAYS 2 GO,277.42,11/20/2008
SHUTTERSTOCK.COM,249,11/20/2008
STADIUM HARDWARE,23.44,11/20/2008
NAPA AUTO PARTS,76.74,11/20/2008
AFTERNOON DELIGHT,228.9,11/20/2008
NAPA AUTO PARTS,85.72,11/20/2008
LARRY'S MOWER SHOP INC,45.95,11/20/2008
BATTERIES PLUS #389,37.98,11/20/2008
STADIUM HARDWARE,5.99,11/19/2008
WWW.THESPORTSAUTHORTY.,94.97,11/19/2008
AKA*ADOLF KIEFER ASSOC,30.05,11/19/2008
AKA*ADOLF KIEFER ASSOC,1049.91,11/19/2008
APG,703,11/19/2008
CABELAS INC.*103241283,109.9,11/19/2008
FINGERLE LUMBER CO SAL,35,11/19/2008
CARPENTER BROS HAR,30.47,11/19/2008
DUNHAMS SPORTS00000265,74.99,11/19/2008
ARBOR VACUUM AND SMALL,9,11/19/2008
SFI*PHOTOSBYSHUTTERFLY,1104.34,11/19/2008
DHL *76237850043,29.72,11/18/2008
LOWES #00734*,73.24,11/18/2008
DETROIT HITCH,6,11/18/2008
LANDSENDBUSINESS,35,11/18/2008
KROGER #689,6.76,11/18/2008
VWR INTERNATIONAL INC,306.47,11/18/2008
NAPA AUTO PARTS,131.41,11/18/2008
STADIUM HARDWARE,35.92,11/18/2008
ARGIERO ITALIAN RESTAU,36.8,11/18/2008
STADIUM HARDWARE,49.98,11/18/2008
